date,amount,vendor,category,description,business_purpose,notes,created_at
2024-01-15,25.00,Starbucks,MEALS,Coffee meeting,Client discussion for Q1 campaign,Meeting with John from ABC Corp,2024-01-15T10:30:00Z
2024-01-15,65.00,Shell,CAR_TRUCK,Fuel for business travel,Client site visit,150 miles to client office,2024-01-15T14:20:00Z
2024-01-16,89.50,Amazon,OFFICE_EXPENSE,Office supplies,New project setup,Notebooks and pens for planning,2024-01-16T09:15:00Z
2024-01-16,12.00,Spotify,SOFTWARE,Monthly subscription,Background music for focus,Premium subscription,2024-01-16T12:00:00Z
2024-01-17,120.00,Olive Garden,MEALS,Business dinner,Contract negotiation,Celebration dinner with new client,2024-01-17T19:30:00Z
2024-01-18,220.75,Delta Air Lines,TRAVEL,Flight to client meeting,Travel to NYC for client presentation,Economy fare,2024-01-18T08:45:00Z
2024-01-18,145.60,Hilton,TRAVEL_LODGING,Hotel stay for client visit,Overnight stay during client presentation,1 night,2024-01-18T21:00:00Z
2024-01-19,32.40,Uber,TRAVEL,Ground transportation,Uber rides between meetings,3 trips,2024-01-19T14:10:00Z
2024-01-20,250.00,Google Ads,ADVERTISING,Search ads campaign,Lead generation for Q1,January campaign spend,2024-01-20T12:00:00Z
2024-01-21,89.99,Zoom,SOFTWARE,Pro plan annual upgrade,Upgrade for larger webinars,Annual plan,2024-01-21T16:30:00Z
2024-01-22,75.00,Comcast,UTILITIES,Internet service,Business internet monthly bill,Office location,2024-01-22T10:00:00Z
2024-01-23,199.00,Udemy,TRAINING,Online course on data analysis,Professional development,Certificate included,2024-01-23T18:20:00Z
